Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,1,Graduate,No,6217,9252,488,84,0,Semiurban,N
Male,Yes,2,Not Graduate,Yes,7953,5176,274,180,1,Semiurban,N
Male,No,2,Graduate,Yes,18408,2473,269,300,1,Semiurban,Y
Male,Yes,1,Graduate,No,16374,54,302,360,0,Rural,N
Female,Yes,3,Graduate,Yes,23432,12989,299,84,0,Semiurban,Y
Male,Yes,2,Graduate,No,10298,13170,228,360,0,Urban,N
Female,No,0,Not Graduate,Yes,6431,7944,237,84,1,Semiurban,N
Female,Yes,1,Graduate,Yes,1837,9353,264,300,1,Rural,N
Male,No,1,Not Graduate,Yes,21150,13419,329,120,0,Urban,Y
Male,Yes,3,Not Graduate,Yes,10969,10101,137,180,1,Semiurban,Y
Female,No,1,Graduate,Yes,23158,9333,111,360,0,Rural,Y
Male,Yes,0,Graduate,Yes,8506,5696,242,360,1,Rural,N
Male,Yes,1,Not Graduate,Yes,6491,493,379,300,0,Urban,N
Female,No,1,Graduate,Yes,24988,11554,72,360,0,Rural,Y
Female,No,0,Graduate,No,5049,3716,471,84,0,Rural,N
Male,Yes,3,Not Graduate,No,21300,3804,209,240,0,Rural,N
Female,Yes,1,Graduate,Yes,19881,7775,138,300,1,Rural,Y
Male,Yes,3,Graduate,Yes,15434,13239,71,300,0,Urban,Y
Female,No,1,Not Graduate,No,13842,8283,168,180,1,Rural,Y
Male,Yes,3,Graduate,Yes,20135,1023,423,300,0,Urban,N
Female,No,0,Graduate,Yes,9858,14696,230,84,1,Urban,Y
Female,No,0,Not Graduate,No,3927,14538,469,84,0,Rural,N
Female,Yes,1,Graduate,Yes,18339,7643,76,300,0,Rural,Y
Male,Yes,0,Not Graduate,No,21367,7389,91,360,1,Rural,Y
Male,Yes,2,Graduate,Yes,3423,14238,323,180,0,Urban,N
Male,Yes,1,Graduate,No,6033,9578,196,360,0,Semiurban,N
Male,No,2,Graduate,Yes,20727,5056,365,84,0,Urban,N
Female,Yes,3,Graduate,Yes,5100,69,422,180,1,Urban,N
Male,No,1,Not Graduate,No,16875,5068,141,120,1,Rural,Y
Male,No,2,Not Graduate,No,23673,13244,224,120,1,Rural,Y
Male,No,2,Not Graduate,No,24402,10954,408,300,0,Semiurban,Y
Female,No,0,Graduate,No,6610,524,193,300,0,Rural,N
Male,No,0,Not Graduate,No,10504,1608,103,180,0,Semiurban,N
Female,Yes,3,Not Graduate,Yes,20276,13329,371,180,0,Semiurban,Y
Female,No,3,Not Graduate,No,10056,7070,457,84,0,Semiurban,N
Male,Yes,0,Not Graduate,No,3159,8600,214,120,1,Urban,N
Female,Yes,0,Not Graduate,Yes,14373,3121,490,240,0,Rural,N
Male,Yes,1,Graduate,No,4446,13370,388,360,0,Urban,N
Male,Yes,2,Graduate,Yes,19688,6944,84,240,0,Rural,Y
Female,No,0,Not Graduate,Yes,2063,1929,221,240,1,Rural,N
Female,Yes,3,Graduate,No,17573,8709,209,180,0,Urban,N
Female,Yes,3,Graduate,No,3532,1242,144,180,0,Rural,N
Male,Yes,2,Graduate,No,22310,9735,90,300,1,Urban,Y
Male,No,2,Not Graduate,No,15985,3679,491,360,1,Urban,Y
Male,Yes,2,Not Graduate,Yes,19843,3919,146,240,1,Semiurban,Y
Male,No,3,Not Graduate,No,17488,10514,353,84,0,Rural,N
Male,No,2,Not Graduate,Yes,14641,4475,247,240,1,Rural,Y
Male,No,3,Graduate,No,19713,7185,193,84,1,Rural,Y
Male,No,0,Graduate,Yes,12494,10308,486,240,0,Semiurban,N
Male,No,0,Graduate,Yes,21943,13481,109,84,0,Rural,Y
Male,Yes,1,Not Graduate,No,13647,13955,322,180,0,Rural,N
Male,No,1,Graduate,Yes,9656,3003,438,120,0,Semiurban,N
Female,No,0,Not Graduate,Yes,5068,6777,235,360,1,Urban,N
Male,Yes,0,Not Graduate,Yes,18499,4547,150,240,1,Semiurban,Y
Male,Yes,1,Graduate,No,5416,6021,293,120,0,Rural,N
Male,No,3,Graduate,Yes,4435,14352,223,300,0,Rural,N
Male,No,0,Graduate,No,13136,1987,350,300,0,Rural,N
Male,Yes,2,Graduate,Yes,11278,1481,470,84,1,Rural,N
Female,Yes,0,Not Graduate,Yes,5092,9936,216,120,1,Semiurban,N
Male,No,0,Graduate,Yes,15188,13147,452,300,0,Semiurban,Y
Female,Yes,0,Not Graduate,No,21889,12956,466,360,0,Semiurban,Y
Female,Yes,3,Graduate,Yes,1644,10357,403,360,1,Rural,N
Female,Yes,3,Graduate,No,20321,8711,338,240,0,Urban,N
Female,Yes,2,Graduate,Yes,16041,6115,236,84,0,Semiurban,N
Female,No,2,Graduate,No,22994,2411,228,240,0,Rural,N
Male,No,1,Graduate,No,21093,12160,221,180,1,Rural,Y
Male,Yes,3,Graduate,Yes,8268,11412,336,120,0,Semiurban,N
Female,Yes,1,Graduate,No,24577,8373,175,84,0,Urban,Y
Female,Yes,0,Not Graduate,No,21051,12912,165,240,1,Urban,Y
Male,Yes,1,Not Graduate,Yes,15440,10961,142,300,0,Urban,Y
Male,No,0,Not Graduate,Yes,8067,1291,107,84,0,Rural,N
Male,Yes,0,Graduate,No,21212,10074,301,360,0,Semiurban,Y
Male,No,1,Graduate,No,5049,3186,374,360,0,Semiurban,N
Female,No,3,Not Graduate,Yes,24204,8567,65,180,0,Semiurban,Y
Female,No,1,Not Graduate,Yes,2885,12441,163,300,0,Urban,N
Male,Yes,3,Graduate,Yes,23648,1982,230,360,1,Urban,Y
Male,Yes,2,Graduate,Yes,9953,3135,87,300,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,19787,709,486,180,1,Rural,Y
Male,No,2,Not Graduate,No,19768,12466,280,120,1,Semiurban,Y
Female,Yes,1,Graduate,No,24358,684,350,84,1,Semiurban,Y
Female,No,0,Graduate,Yes,21032,2611,385,240,0,Semiurban,N
Male,No,1,Not Graduate,No,3403,12001,85,84,0,Rural,N
Female,No,2,Not Graduate,Yes,8904,3186,417,84,1,Semiurban,N
Female,No,3,Graduate,No,13973,6884,75,84,0,Semiurban,N
Male,Yes,2,Graduate,No,18045,7480,160,180,0,Semiurban,Y
Male,Yes,0,Graduate,Yes,13923,7236,196,120,0,Rural,N
Female,No,2,Graduate,Yes,12177,911,52,240,0,Semiurban,N
Male,Yes,0,Not Graduate,Yes,20634,3681,139,84,1,Rural,Y
Male,Yes,2,Not Graduate,Yes,5870,10793,191,240,1,Urban,Y
Male,No,0,Not Graduate,Yes,8815,8183,346,84,0,Rural,N
Male,Yes,2,Graduate,Yes,17402,10165,280,240,0,Semiurban,N
Male,No,0,Graduate,No,12383,3630,214,120,1,Semiurban,N
Male,No,1,Not Graduate,No,9531,13306,280,120,0,Rural,N
Female,Yes,3,Not Graduate,No,23250,6471,221,240,1,Rural,Y
Female,Yes,1,Not Graduate,Yes,22139,13072,479,360,1,Rural,Y
Female,Yes,1,Not Graduate,Yes,8245,10490,108,300,0,Urban,N
Female,No,0,Not Graduate,Yes,17438,4504,444,180,0,Semiurban,N
Male,No,0,Graduate,Yes,11057,8160,174,240,1,Rural,Y
Male,No,0,Not Graduate,Yes,20107,7863,145,300,0,Semiurban,Y
Female,Yes,3,Not Graduate,No,19663,7205,137,84,0,Semiurban,Y
Male,Yes,2,Not Graduate,No,23422,2592,446,240,1,Rural,Y
Female,Yes,1,Graduate,No,16356,4610,438,240,1,Urban,Y
Male,Yes,0,Graduate,Yes,21954,8433,414,240,1,Rural,Y
Female,No,3,Graduate,No,6582,3508,190,240,0,Rural,N
Female,Yes,0,Not Graduate,Yes,9195,5793,495,300,1,Rural,N
Male,Yes,0,Graduate,No,20910,14790,107,240,1,Rural,Y
Male,Yes,2,Not Graduate,Yes,3343,10761,241,300,0,Semiurban,N
Male,No,1,Not Graduate,No,17000,12487,319,180,0,Rural,Y
Female,No,1,Not Graduate,Yes,3043,3627,497,84,0,Rural,N
Female,No,1,Graduate,No,21686,1506,65,84,0,Urban,N
Female,Yes,3,Not Graduate,Yes,23653,2434,180,300,1,Rural,Y
Male,No,1,Not Graduate,Yes,8701,10746,66,300,0,Rural,N
Male,No,0,Graduate,Yes,4699,4981,446,180,1,Semiurban,N
Male,Yes,1,Graduate,No,6903,5260,65,300,1,Semiurban,Y
Female,No,1,Not Graduate,No,17112,589,300,84,0,Urban,N
Male,Yes,0,Graduate,Yes,18000,7931,431,84,0,Semiurban,N
Female,No,2,Not Graduate,Yes,8377,4,125,300,1,Rural,N
Female,No,0,Graduate,Yes,12876,14625,104,240,0,Rural,Y
Male,No,1,Not Graduate,No,22915,14230,482,84,1,Semiurban,Y
Male,No,3,Not Graduate,No,19595,2331,389,360,1,Semiurban,Y
Female,Yes,0,Graduate,Yes,6320,11151,274,360,0,Semiurban,N
Female,No,2,Graduate,No,18742,14417,325,360,0,Rural,Y
Male,No,0,Not Graduate,Yes,15678,10638,414,360,0,Urban,N
Female,Yes,1,Graduate,Yes,12788,352,138,240,1,Rural,Y
Female,Yes,0,Not Graduate,Yes,2957,6431,127,84,1,Rural,N
Male,Yes,3,Graduate,No,10327,1798,140,120,1,Semiurban,Y
Male,No,2,Not Graduate,Yes,14326,2209,198,84,0,Rural,N
Male,Yes,0,Graduate,Yes,4057,5867,454,300,1,Urban,N
Male,No,2,Not Graduate,Yes,19541,14283,303,300,1,Urban,Y
Male,No,0,Not Graduate,No,19079,5012,75,360,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,5388,6543,465,360,0,Semiurban,N
Female,Yes,0,Graduate,No,10860,5034,96,120,0,Urban,N
Male,Yes,2,Graduate,No,20531,11871,461,84,0,Rural,Y
Male,Yes,3,Graduate,Yes,8780,1641,190,360,0,Semiurban,N
Female,Yes,2,Graduate,No,1579,3074,68,360,0,Urban,N
Female,Yes,2,Graduate,Yes,24940,3989,458,180,1,Urban,Y
Male,Yes,2,Not Graduate,No,8253,10064,189,180,0,Rural,N
Male,Yes,2,Graduate,No,8072,888,236,240,1,Semiurban,N
Female,No,3,Graduate,No,17825,11887,466,240,0,Rural,Y
Female,No,0,Graduate,Yes,2995,5556,231,360,1,Urban,N
Female,No,1,Graduate,No,22008,11405,131,180,1,Rural,Y
Female,No,0,Not Graduate,Yes,3263,11306,230,300,1,Urban,N
Male,No,2,Not Graduate,Yes,4276,3158,167,240,0,Semiurban,N
Female,Yes,0,Graduate,Yes,5180,9211,143,300,1,Semiurban,Y
Female,Yes,0,Graduate,Yes,24114,4529,196,240,0,Semiurban,Y
Male,Yes,1,Graduate,Yes,12374,103,353,120,0,Semiurban,N
Female,Yes,0,Graduate,No,22215,4109,90,240,0,Semiurban,Y
Male,Yes,0,Graduate,No,9117,10003,402,84,0,Rural,N
Female,Yes,0,Graduate,Yes,8574,12032,396,120,0,Urban,N
Male,No,2,Graduate,No,11815,11785,246,120,0,Rural,N
Male,No,3,Graduate,No,18744,8677,271,240,0,Rural,N
Female,Yes,2,Graduate,Yes,1701,14125,429,84,0,Rural,N
Female,Yes,3,Not Graduate,No,18178,13241,278,180,0,Urban,Y
Male,No,0,Not Graduate,Yes,14083,11644,373,120,1,Semiurban,Y
Female,No,2,Graduate,Yes,19390,14043,381,84,1,Urban,Y
Female,No,0,Graduate,Yes,11448,7326,173,240,1,Urban,Y
Male,Yes,2,Not Graduate,Yes,7611,14108,364,360,0,Rural,N
Female,Yes,1,Graduate,No,24291,11382,479,120,1,Rural,Y
Male,Yes,0,Graduate,Yes,9687,14977,373,180,1,Urban,Y
Male,Yes,1,Graduate,No,18880,4586,175,84,1,Urban,Y
Male,No,1,Not Graduate,Yes,18014,11266,211,84,1,Urban,Y
Male,No,0,Not Graduate,Yes,11583,2334,351,240,0,Urban,N
Female,Yes,2,Not Graduate,Yes,2393,5650,91,180,0,Semiurban,N
Female,Yes,2,Not Graduate,Yes,14114,578,116,300,1,Rural,Y
Male,No,0,Graduate,Yes,1907,2345,445,240,0,Urban,N
Female,Yes,0,Graduate,No,23295,3473,403,300,1,Urban,Y
Female,Yes,0,Not Graduate,Yes,4927,8497,96,120,1,Urban,Y
Male,Yes,0,Graduate,Yes,8942,10937,50,240,1,Urban,Y
Female,No,0,Graduate,Yes,2651,3159,137,240,1,Rural,N
Male,Yes,1,Not Graduate,Yes,20589,13640,417,300,0,Semiurban,Y
Male,No,1,Graduate,No,21487,1400,51,180,1,Rural,Y
Male,Yes,3,Not Graduate,No,11735,9845,347,120,1,Semiurban,Y
Female,No,3,Graduate,No,20770,11570,371,120,0,Rural,Y
Female,Yes,2,Not Graduate,Yes,19310,4409,441,300,1,Rural,Y
Male,Yes,3,Not Graduate,Yes,2746,12188,403,120,1,Semiurban,N
Female,No,3,Graduate,No,14058,14316,251,360,0,Urban,Y
Male,Yes,3,Not Graduate,Yes,7119,5257,211,84,0,Rural,N
Male,Yes,2,Not Graduate,No,16525,6707,175,300,0,Semiurban,N
Female,Yes,0,Graduate,No,16947,12034,397,84,1,Urban,Y
Male,No,1,Not Graduate,Yes,4255,8333,314,240,1,Semiurban,N
Male,Yes,3,Graduate,No,20683,5558,281,180,1,Rural,Y
Male,Yes,0,Graduate,No,6628,14511,103,84,1,Urban,Y
Male,Yes,2,Not Graduate,No,6451,6612,192,300,0,Urban,N
Male,Yes,0,Not Graduate,No,13556,6513,96,180,1,Semiurban,Y
Female,Yes,2,Graduate,Yes,15740,11743,175,180,1,Urban,Y
Male,Yes,3,Not Graduate,No,12972,2221,134,300,0,Urban,N
Female,No,0,Graduate,Yes,15262,7320,58,180,1,Semiurban,Y
Female,No,1,Graduate,No,8218,11588,208,180,0,Urban,N
Female,Yes,3,Not Graduate,Yes,6796,4163,327,360,0,Urban,N
Female,Yes,2,Graduate,Yes,9526,5731,150,180,1,Urban,Y
Female,No,0,Graduate,No,2770,13756,460,180,0,Semiurban,N
Female,Yes,3,Graduate,Yes,4546,12256,411,360,0,Semiurban,N
Male,No,1,Not Graduate,Yes,12056,790,359,120,1,Urban,N
Female,Yes,2,Graduate,Yes,14939,3704,324,120,1,Urban,Y
Male,No,1,Not Graduate,No,2929,11708,240,300,1,Semiurban,N
Female,No,2,Not Graduate,No,8259,3139,320,84,0,Rural,N
Male,Yes,1,Not Graduate,Yes,5013,8507,228,120,0,Rural,N
Female,No,2,Graduate,Yes,13887,14477,68,84,1,Urban,Y
Male,No,3,Not Graduate,Yes,21755,2587,300,240,0,Urban,N
Male,Yes,1,Not Graduate,No,23400,8762,188,120,0,Rural,Y
Male,No,0,Not Graduate,Yes,19331,12594,168,360,0,Urban,Y
Female,No,3,Not Graduate,Yes,10594,2038,109,120,0,Urban,N
Female,Yes,1,Not Graduate,Yes,3795,14337,84,120,0,Urban,N
Female,Yes,1,Graduate,No,18262,12456,51,120,1,Rural,Y
Male,No,0,Not Graduate,No,11281,822,481,360,0,Urban,N
Male,No,2,Not Graduate,Yes,14848,2777,174,84,0,Rural,N
Male,Yes,3,Graduate,No,1653,2009,248,300,0,Urban,N
Female,No,3,Graduate,No,20547,9821,224,84,1,Rural,Y
Female,Yes,1,Graduate,No,19181,3283,282,180,0,Semiurban,N
Female,Yes,0,Graduate,No,4592,9966,371,360,0,Rural,N
Female,Yes,2,Not Graduate,Yes,3526,1434,442,300,1,Semiurban,N
Male,No,3,Not Graduate,No,4654,10560,376,84,1,Rural,N
Female,No,3,Not Graduate,No,24238,12484,477,84,1,Rural,Y
Male,No,0,Not Graduate,No,11299,1344,150,360,1,Rural,Y
Female,Yes,3,Graduate,No,7155,14277,159,300,1,Rural,Y
Male,No,0,Not Graduate,Yes,18137,2857,296,120,0,Semiurban,N
Male,No,1,Not Graduate,Yes,2724,14884,115,360,1,Rural,Y
Female,Yes,3,Not Graduate,No,19526,12038,387,180,1,Semiurban,Y
Female,No,1,Not Graduate,No,14027,13965,285,300,1,Rural,Y
Female,Yes,3,Graduate,Yes,16103,13850,57,120,1,Urban,Y
Female,No,2,Graduate,Yes,14460,10680,306,360,1,Rural,Y
Male,No,0,Graduate,Yes,3835,4404,68,180,0,Semiurban,N
Male,Yes,3,Not Graduate,Yes,16881,1511,52,180,0,Urban,N
Female,Yes,1,Not Graduate,No,20870,2752,422,180,1,Semiurban,Y
Male,No,1,Graduate,No,11437,2189,285,300,0,Rural,N
Male,No,0,Graduate,Yes,14321,1820,279,180,1,Rural,N
Female,Yes,0,Not Graduate,Yes,2231,11288,398,300,0,Urban,N
Male,Yes,3,Not Graduate,No,18730,9422,426,240,1,Rural,Y
Male,Yes,0,Graduate,Yes,11306,5082,430,240,0,Rural,N
Female,Yes,0,Not Graduate,No,13950,5078,452,240,1,Urban,Y
Male,No,2,Graduate,Yes,8844,778,234,180,0,Rural,N
Female,No,2,Graduate,Yes,22504,12993,130,360,0,Urban,Y
Male,No,3,Graduate,No,21538,14119,226,360,0,Semiurban,Y
Female,No,0,Graduate,No,10158,6616,138,240,1,Rural,Y
Male,No,3,Graduate,Yes,22990,10400,172,240,1,Rural,Y
Female,No,2,Graduate,No,22105,4578,152,84,1,Semiurban,Y
Male,No,1,Graduate,Yes,6526,3250,464,240,0,Rural,N
Male,Yes,3,Not Graduate,Yes,9345,14238,112,180,0,Urban,Y
Male,Yes,1,Not Graduate,No,14851,9415,445,240,0,Rural,N
Female,No,0,Not Graduate,Yes,6233,10730,319,360,0,Semiurban,N
Female,No,0,Not Graduate,No,13396,3127,137,300,1,Urban,Y
Male,No,2,Graduate,Yes,9266,6049,398,360,0,Rural,N
Female,No,0,Graduate,Yes,18324,2854,416,180,0,Semiurban,N
Female,Yes,2,Graduate,Yes,18654,12016,419,84,0,Rural,Y
Male,No,2,Not Graduate,No,4038,700,239,300,1,Urban,N
Female,Yes,0,Not Graduate,No,6934,11433,117,240,1,Semiurban,Y
Male,Yes,2,Not Graduate,Yes,11184,14934,472,240,0,Rural,N
Male,No,2,Not Graduate,No,18568,5332,173,120,1,Semiurban,Y
Male,No,2,Not Graduate,Yes,12227,10763,467,180,0,Urban,N
Male,No,3,Graduate,Yes,13237,13684,382,180,0,Semiurban,N
Male,Yes,3,Graduate,No,10319,4457,404,360,0,Urban,N
Female,No,3,Not Graduate,Yes,20169,6734,289,300,1,Semiurban,Y
Male,Yes,3,Graduate,Yes,15411,12995,347,84,1,Urban,Y
Male,No,0,Not Graduate,No,4171,10449,301,240,1,Semiurban,N
Female,Yes,2,Not Graduate,Yes,17616,9287,275,240,1,Rural,Y
Male,Yes,3,Graduate,Yes,15998,10485,386,240,0,Rural,N
Female,Yes,1,Graduate,Yes,21559,8950,153,120,1,Urban,Y
Female,Yes,0,Not Graduate,Yes,12425,12512,71,300,1,Semiurban,Y
Male,Yes,3,Not Graduate,Yes,11803,13751,285,360,1,Urban,Y
Male,No,1,Graduate,No,19923,14749,290,360,0,Urban,Y
Male,Yes,2,Graduate,Yes,13976,6348,344,240,0,Semiurban,N
Female,Yes,2,Not Graduate,No,2172,197,355,240,1,Urban,N
Female,Yes,0,Not Graduate,No,8226,4085,71,240,0,Rural,N
Male,Yes,3,Graduate,No,13426,12336,235,360,0,Urban,N
Male,Yes,0,Not Graduate,No,22445,2285,472,84,0,Semiurban,N
Male,Yes,1,Not Graduate,No,20255,6252,456,180,0,Rural,N
Female,Yes,3,Not Graduate,No,19198,14466,401,300,0,Urban,Y
Female,Yes,1,Not Graduate,Yes,4275,12682,57,180,0,Urban,N
Female,Yes,1,Graduate,Yes,20334,9858,134,300,0,Semiurban,Y
Female,No,2,Graduate,No,14258,9992,90,84,1,Urban,Y
Female,No,2,Not Graduate,Yes,2688,9278,457,120,1,Semiurban,N
Female,Yes,0,Not Graduate,No,10962,10656,396,120,1,Urban,Y
Female,No,3,Graduate,No,14800,4257,343,360,1,Urban,Y
Male,Yes,1,Not Graduate,No,10775,8742,469,240,0,Urban,N
Female,No,3,Graduate,Yes,20493,487,87,180,0,Rural,N
Male,No,2,Graduate,Yes,10161,10321,393,180,0,Semiurban,N
Male,Yes,1,Not Graduate,No,21529,14088,339,180,1,Semiurban,Y
Female,No,0,Not Graduate,No,21677,8657,305,180,0,Urban,Y
Female,Yes,3,Graduate,No,15449,12330,163,120,1,Rural,Y
Female,No,3,Not Graduate,No,24610,6310,351,300,0,Urban,Y
Female,No,0,Graduate,No,6301,11419,145,360,1,Rural,Y
Male,No,0,Not Graduate,No,17915,14216,463,120,1,Semiurban,Y
Male,No,2,Graduate,No,16335,9780,465,360,1,Urban,Y
Male,No,3,Graduate,Yes,8512,13703,469,240,1,Urban,Y
Female,Yes,0,Not Graduate,Yes,7910,14473,110,120,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,14106,14079,82,84,1,Semiurban,Y
Female,Yes,2,Graduate,Yes,13970,9081,232,300,0,Rural,N
Female,Yes,0,Graduate,No,8515,5275,203,84,0,Semiurban,N
Female,Yes,1,Graduate,No,15147,7542,406,300,0,Rural,N
Male,No,2,Graduate,Yes,21621,5312,396,360,1,Rural,Y
